neighbourhood,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_dayofweek,neighbourhood_group_Central Region,neighbourhood_group_North-East Region,neighbourhood_group_West Region,neighbourhood_group_East Region,neighbourhood_group_North Region,last_review_season_Southwest Monsoon,last_review_season_Northeast Monsoon,last_review_season_Hot and Dry,last_review_season_Inter-monsoon,room_type_Private room,room_type_Entire home/apt,room_type_Shared room,airbnb_era_Post-Maturity,airbnb_era_Maturity,airbnb_era_Significant Growth,airbnb_era_Growth,price
154.84883720930233,1.28652,103.84744,0.7632875349901244,2.1586439249891747,0.7243032989463822,3,48,6.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,287
78.51851851851852,1.37869,103.7518,1.014689540741857,1.89245096344469,0.4988103128265196,1,310,5.0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,50
129.52272727272728,1.30969,103.913,0.5476604871793528,1.5724373905921767,0.4535665205142757,109,356,5.0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,169
129.52272727272728,1.31808,103.90582,0.5476604871793528,0.6294841510589716,0.019586148211334076,1,362,6.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,78
190.68,1.29652,103.82925,0.7632875349901244,2.2097480296749494,0.745940966779865,4,29,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,57
111.03030303030303,1.31344,103.7948,0.5476604871793528,0.9444332094556629,0.17176923885967843,3,0,6.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,50
264.4788732394366,1.29898,103.83789,0.7632875349901244,2.5017680344865423,0.6542239680858726,27,335,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,93
135.9655172413793,1.31571,103.85445,0.8827548615480663,1.998827165142276,0.4166045753442146,203,328,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,118
157.45038167938932,1.30381,103.84886,0.5476604871793528,1.293148584843654,0.3133493518064337,64,365,3.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,450
264.4788732394366,1.30749,103.83489,1.055705359286362,0.6294841510589716,0.06517566394409594,6,334,3.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,342
142.6863157894737,1.31585,103.88554,0.5476604871793528,2.1137328411173617,0.3088853605516654,67,89,2.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,110
157.45038167938932,1.30944,103.85219,0.5476604871793528,2.061317090012272,0.4988103128265196,9,365,6.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,28
142.6863157894737,1.31625,103.89143,0.8827548615480663,0.9444332094556629,0.6341695583822058,1,1,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,40
147.58793969849245,1.28249,103.82986,1.353312099935691,0.6294841510589716,0.48319721436189694,5,274,0.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,56
129.52272727272728,1.31227,103.94612,0.5476604871793528,0.6294841510589716,0.07375926134859656,1,0,2.0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,94
97.35,1.4057,103.82069,0.5476604871793528,2.079758854931614,0.4343607469322366,3,0,2.0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,37
157.45038167938932,1.30439,103.84972,0.5476604871793528,1.293148584843654,0.37335043917571636,64,365,6.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,90
135.9655172413793,1.32137,103.86486,1.2708158026868601,1.146990051546535,0.25515738552935663,141,262,6.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,299
135.9655172413793,1.31506,103.85503,1.353312099935691,1.9222023655045097,0.3133493518064337,13,361,2.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,62
129.52272727272728,1.32845,103.94697,0.8827548615480663,2.324115787237005,0.44000649652210483,13,84,4.0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,69
733.7333333333333,1.34713,103.77272,0.5476604871793528,1.293148584843654,0.11427500561597995,4,335,4.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,50
142.6863157894737,1.31564,103.88095,1.2359171926329946,0.9444332094556629,0.17839698790358818,112,359,4.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,33
147.58793969849245,1.29213,103.81734,0.7632875349901244,0.9444332094556629,0.03837758828980417,6,0,1.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,250
264.4788732394366,1.29999,103.83991,0.7632875349901244,2.5092544553620155,0.6766206935805954,27,301,4.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,128
85.5,1.39037,103.83532,0.8827548615480663,2.426034528389094,0.5250301766914216,1,0,6.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,169
157.45038167938932,1.30369,103.85004,0.7632875349901244,1.146990051546535,0.6567368674256738,1,324,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,56
153.04395604395606,1.29649,103.83978,0.7632875349901244,1.6368048831477897,0.5051655257970525,18,319,6.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,135
129.52272727272728,1.31494,103.90681,1.014689540741857,1.7853009529303008,0.16502477606448082,8,332,1.0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,44
142.6863157894737,1.31163,103.88146,0.5476604871793528,0.9444332094556629,0.20379843846278126,37,363,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,60
218.83333333333334,1.27494,103.84422,1.287246019848224,0.6294841510589716,0.09853120329444137,274,302,6.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,189
153.04395604395606,1.2958,103.8395,0.7632875349901244,1.146990051546535,0.29976081685002465,27,330,4.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,125
142.6863157894737,1.31083,103.88456,1.3240397907375767,0.9444332094556629,0.03837758828980417,7,365,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,194
153.04395604395606,1.29336,103.83824,0.9600242569509456,1.5724373905921767,0.5378378663548417,1,0,6.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,131
142.6863157894737,1.31179,103.88323,0.5476604871793528,2.272742127095055,0.6752021148833551,37,359,0.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,60
142.6863157894737,1.31374,103.89268,0.5476604871793528,2.530330420827872,0.744893283107235,4,255,1.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,119
151.43722943722943,1.28267,103.84508,0.5476604871793528,2.2909591858984855,0.7286571951476478,3,304,0.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,37
142.6863157894737,1.31091,103.88131,0.5476604871793528,2.4461425085787996,0.5092968694991273,37,342,5.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,60
151.43722943722943,1.28504,103.84163,0.8827548615480663,1.6925959414637473,0.6759135444612691,7,353,1.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,68
121.60606060606061,1.2905,103.77628,0.5476604871793528,1.146990051546535,0.40079485993484426,1,0,6.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,62
190.68,1.29377,103.82844,1.287246019848224,2.7110696362788484,0.7093584965520378,1,0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,160
171.4394618834081,1.32288,103.85222,1.0877874362219921,0.6294841510589716,0.12192827469876251,114,365,1.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,150
